ID_Corrida,Estrategia,Condicion_Inyectada,Clase_Emitida,Angulo_Alcanzado,Error_Angular,Tiempo_Respuesta_ms,Acierto
69,Umbrales con Histeresis,10.0,10 deg,9.984,0.016,39.63,1
70,Umbrales con Histeresis,10.0,10 deg,9.955,0.045,38.98,1
71,Umbrales con Histeresis,10.0,10 deg,9.973,0.027,37.59,1
72,Umbrales con Histeresis,10.0,10 deg,9.942,0.058,39.19,1
73,Umbrales con Histeresis,10.0,10 deg,9.96,0.04,37.19,1
74,Umbrales con Histeresis,10.0,10 deg,9.96,0.04,39.27,1
75,Umbrales con Histeresis,10.0,10 deg,9.951,0.049,40.04,1
76,Logica Difusa,-10.0,-10 deg,-9.941,0.059,39.82,1
77,Logica Difusa,-10.0,-10 deg,-9.941,0.059,40.32,1
78,Logica Difusa,-10.0,-10 deg,-9.995,0.005,37.53,1
79,Logica Difusa,-10.0,-10 deg,-9.97,0.03,37.61,1
80,Logica Difusa,-10.0,-10 deg,-10.026,0.026,38.97,1
81,Logica Difusa,-10.0,-10 deg,-9.923,0.077,39.91,1
82,Logica Difusa,-10.0,-10 deg,-9.967,0.033,38.43,1
83,Logica Difusa,-10.0,-10 deg,-9.975,0.025,38.48,1
84,Logica Difusa,-10.0,-10 deg,-9.956,0.044,39.07,1
85,Logica Difusa,-10.0,-10 deg,-9.958,0.042,39.89,1
86,Logica Difusa,-10.0,-10 deg,-10.005,0.005,40.5,1
87,Logica Difusa,-10.0,-10 deg,-9.935,0.065,37.84,1
88,Logica Difusa,-10.0,-10 deg,-9.955,0.045,38.98,1
89,Logica Difusa,-10.0,-10 deg,-9.94,0.06,37.48,1
90,Logica Difusa,-10.0,-10 deg,-9.974,0.026,40.26,1
91,Logica Difusa,-5.0,-5 deg,-4.971,0.029,40.28,1
92,Logica Difusa,-5.0,-5 deg,-5.012,0.012,39.88,1
93,Logica Difusa,-5.0,-5 deg,-4.983,0.017,39.81,1
94,Logica Difusa,-5.0,-5 deg,-4.98,0.02,40.25,1
95,Logica Difusa,-5.0,-5 deg,-4.989,0.011,38.43,1
96,Logica Difusa,-5.0,-5 deg,-4.999,0.001,38.72,1
97,Logica Difusa,-5.0,-5 deg,-4.983,0.017,37.13,1
98,Logica Difusa,-5.0,-5 deg,-4.965,0.035,39.69,1
99,Logica Difusa,-5.0,-5 deg,-4.986,0.014,39.04,1
100,Logica Difusa,-5.0,-5 deg,-4.97,0.03,37.25,1
101,Logica Difusa,-5.0,-5 deg,-4.962,0.038,39.75,1
102,Logica Difusa,-5.0,-5 deg,-5.01,0.01,39.27,1
103,Logica Difusa,-5.0,-5 deg,-4.944,0.056,39.93,1
104,Logica Difusa,-5.0,-5 deg,-5.02,0.02,38.48,1
105,Logica Difusa,-5.0,-5 deg,-5.02,0.02,37.95,1
106,Logica Difusa,0.0,0 deg,-0.029,0.029,40.32,1
107,Logica Difusa,0.0,0 deg,0.059,0.059,37.21,1
108,Logica Difusa,0.0,0 deg,-0.023,0.023,38.6,1
109,Logica Difusa,0.0,0 deg,-0.043,0.043,39.55,1
110,Logica Difusa,0.0,0 deg,0.004,0.004,37.21,1
111,Logica Difusa,0.0,0 deg,0.025,0.025,39.53,1
112,Logica Difusa,0.0,0 deg,-0.008,0.008,37.76,1
113,Logica Difusa,0.0,0 deg,0.008,0.008,39.87,1
114,Logica Difusa,0.0,0 deg,-0.037,0.037,40.38,1
115,Logica Difusa,0.0,0 deg,-0.006,0.006,39.24,1
116,Logica Difusa,0.0,0 deg,0.001,0.001,37.72,1
117,Logica Difusa,0.0,0 deg,0.037,0.037,38.76,1
118,Logica Difusa,0.0,0 deg,0.045,0.045,38.0,1
119,Logica Difusa,0.0,0 deg,-0.064,0.064,38.23,1
120,Logica Difusa,0.0,0 deg,0.015,0.015,39.35,1
121,Logica Difusa,5.0,5 deg,4.981,0.019,39.02,1
122,Logica Difusa,5.0,5 deg,4.985,0.015,37.39,1
123,Logica Difusa,5.0,5 deg,5.014,0.014,38.38,1
124,Logica Difusa,5.0,5 deg,4.997,0.003,39.87,1
125,Logica Difusa,5.0,5 deg,4.945,0.055,39.41,1
126,Logica Difusa,5.0,5 deg,4.991,0.009,40.05,1
127,Logica Difusa,5.0,5 deg,5.033,0.033,40.32,1
128,Logica Difusa,5.0,5 deg,4.958,0.042,37.48,1
129,Logica Difusa,5.0,5 deg,5.015,0.015,38.32,1
130,Logica Difusa,5.0,5 deg,4.964,0.036,38.75,1
131,Logica Difusa,5.0,5 deg,4.974,0.026,38.2,1
132,Logica Difusa,5.0,5 deg,4.987,0.013,39.99,1
133,Logica Difusa,5.0,5 deg,5.03,0.03,37.97,1
134,Logica Difusa,5.0,5 deg,4.99,0.01,39.88,1
135,Logica Difusa,5.0,5 deg,5.005,0.005,40.25,1
136,Logica Difusa,10.0,10 deg,9.966,0.034,39.93,1
137,Logica Difusa,10.0,10 deg,9.959,0.041,37.39,1
138,Logica Difusa,10.0,10 deg,10.003,0.003,39.67,1
139,Logica Difusa,10.0,10 deg,9.98,0.02,39.42,1
140,Logica Difusa,10.0,10 deg,10.002,0.002,38.4,1
141,Logica Difusa,10.0,10 deg,9.967,0.033,40.13,1
142,Logica Difusa,10.0,10 deg,9.969,0.031,37.56,1
143,Logica Difusa,10.0,10 deg,9.932,0.068,39.1,1
144,Logica Difusa,10.0,10 deg,9.974,0.026,40.33,1
145,Logica Difusa,10.0,10 deg,9.953,0.047,38.65,1
146,Logica Difusa,10.0,10 deg,9.951,0.049,38.4,1
147,Logica Difusa,10.0,10 deg,9.958,0.042,40.16,1
148,Logica Difusa,10.0,10 deg,9.987,0.013,39.57,1
149,Logica Difusa,10.0,10 deg,9.941,0.059,38.21,1
150,Logica Difusa,10.0,10 deg,9.943,0.057,37.56,1
